Modified or unmodified,Modified material type,Cross-linked or uncross-linked,Cross-linking agent type,Adsorbent dosage (g/L) ,Reactor temperature (℃),Initial P concentration (mg/L),Reaction time (min),Solution pH,Pore volume (cm³/g),BET surface area (m²/g),P adsorption capacity (mg/g)
0,0,1,2,25.0,22.0,60.8,180.0,6.2,0.0469,0.056,1.23
0,0,1,2,5.0,22.0,60.8,135.0,2.0,0.0469,0.056,3.28
0,0,1,2,5.0,22.0,60.8,135.0,6.2,0.0469,0.056,2.45
0,0,1,2,25.0,22.0,60.8,45.0,2.0,0.0469,0.056,1.43
0,0,1,2,25.0,22.0,60.8,45.0,6.2,0.0469,0.056,1.2
0,0,1,2,1.0,22.0,60.8,180.0,2.0,0.03391428571428572,0.056,5.0
0,0,1,2,1.0,22.0,60.8,180.0,6.2,0.03391428571428572,0.056,3.5
0,0,1,2,10.0,22.0,60.8,180.0,2.0,0.0469,0.056,2.7
0,0,1,2,10.0,22.0,60.8,180.0,6.2,0.0469,0.056,2.3
0,0,1,2,50.0,22.0,60.8,180.0,2.0,0.0469,0.056,0.97
0,0,1,2,50.0,22.0,60.8,180.0,6.2,0.0469,0.056,0.92
0,0,1,2,0.2,22.0,60.8,180.0,2.0,0.03391428571428572,0.056,8.0
0,0,1,2,0.2,22.0,60.8,180.0,6.2,0.03391428571428572,0.056,6.5
0,0,1,2,2.0,22.0,60.8,180.0,2.0,0.0469,0.056,6.5
0,0,1,2,2.0,22.0,60.8,180.0,6.2,0.0469,0.056,4.5
0,0,1,2,5.0,22.0,60.8,10.0,2.0,0.0469,0.056,2.6
0,0,1,2,5.0,22.0,60.8,10.0,6.2,0.0469,0.056,1.9
0,0,1,2,25.0,22.0,60.8,10.0,2.0,0.0469,0.056,1.3
0,0,1,2,25.0,22.0,60.8,10.0,6.2,0.0469,0.056,1.1
0,0,0,0,5.0,22.0,60.8,180.0,4.0,0.029,0.103,5.44
0,0,0,0,5.0,22.0,60.8,180.0,6.2,0.029,0.103,5.71
0,0,0,0,25.0,22.0,60.8,180.0,4.0,0.029,0.103,1.98
0,0,0,0,25.0,22.0,60.8,180.0,6.2,0.029,0.103,2.06
0,0,0,0,5.0,22.0,60.8,60.0,4.0,0.029,0.103,5.3
0,0,0,0,5.0,22.0,60.8,60.0,6.2,0.029,0.103,5.55
0,0,0,0,25.0,22.0,60.8,20.0,4.0,0.029,0.103,1.91
0,0,0,0,25.0,22.0,60.8,20.0,6.2,0.029,0.103,1.97
0,0,0,0,1.0,22.0,60.8,180.0,6.2,0.08678260869565217,0.103,11.3
0,0,0,0,10.0,22.0,60.8,180.0,6.2,0.029,0.103,4.1
0,0,0,0,50.0,22.0,60.8,180.0,6.2,0.029,0.103,1.13
0,0,0,0,0.2,22.0,60.8,180.0,6.2,0.08678260869565217,0.103,16.0
0,0,0,0,0.2,22.0,60.8,180.0,4.0,0.08678260869565217,0.103,15.0
0,0,0,0,2.0,22.0,60.8,180.0,6.2,0.029,0.103,8.0
0,0,0,0,2.0,22.0,60.8,180.0,4.0,0.029,0.103,7.5
0,0,0,0,5.0,22.0,60.8,10.0,4.0,0.029,0.103,3.6
0,0,0,0,5.0,22.0,60.8,10.0,6.2,0.029,0.103,3.8
0,0,0,0,25.0,22.0,60.8,10.0,4.0,0.029,0.103,1.6
0,0,0,0,25.0,22.0,60.8,10.0,6.2,0.029,0.103,1.7
0,0,1,2,1.0,22.0,10.0,0.0,3.0,0.03391428571428572,0.056,0.0
0,0,1,2,1.0,22.0,10.0,5.0,3.0,0.03391428571428572,0.056,3.0
0,0,1,2,1.0,22.0,10.0,10.0,3.0,0.03391428571428572,0.056,5.0
0,0,1,2,1.0,22.0,10.0,15.0,3.0,0.03391428571428572,0.056,6.0
0,0,1,2,1.0,22.0,10.0,20.0,3.0,0.03391428571428572,0.056,6.8
0,0,1,2,1.0,22.0,10.0,30.0,3.0,0.03391428571428572,0.056,7.2
0,0,1,2,1.0,22.0,10.0,45.0,3.0,0.03391428571428572,0.056,7.5
0,0,1,2,1.0,22.0,10.0,60.0,3.0,0.03391428571428572,0.056,7.7
0,0,1,2,1.0,22.0,10.0,90.0,3.0,0.03391428571428572,0.056,7.86
0,0,1,2,1.0,22.0,50.0,0.0,3.0,0.03391428571428572,0.056,0.0
0,0,1,2,1.0,22.0,50.0,5.0,3.0,0.03391428571428572,0.056,12.0
0,0,1,2,1.0,22.0,50.0,10.0,3.0,0.03391428571428572,0.056,20.0
0,0,1,2,1.0,22.0,50.0,15.0,3.0,0.03391428571428572,0.056,25.0
0,0,1,2,1.0,22.0,50.0,20.0,3.0,0.03391428571428572,0.056,28.0
0,0,1,2,1.0,22.0,50.0,30.0,3.0,0.03391428571428572,0.056,30.0
0,0,1,2,1.0,22.0,50.0,45.0,3.0,0.03391428571428572,0.056,31.0
0,0,1,2,1.0,22.0,50.0,60.0,3.0,0.03391428571428572,0.056,31.5
0,0,1,2,1.0,22.0,50.0,90.0,3.0,0.03391428571428572,0.056,32.0
0,0,1,2,1.0,22.0,100.0,0.0,3.0,0.03391428571428572,0.056,0.0
0,0,1,2,1.0,22.0,100.0,5.0,3.0,0.03391428571428572,0.056,20.0
0,0,1,2,1.0,22.0,100.0,10.0,3.0,0.03391428571428572,0.056,32.0
0,0,1,2,1.0,22.0,100.0,15.0,3.0,0.03391428571428572,0.056,40.0
0,0,1,2,1.0,22.0,100.0,20.0,3.0,0.03391428571428572,0.056,45.0
0,0,1,2,1.0,22.0,100.0,30.0,3.0,0.03391428571428572,0.056,48.0
0,0,1,2,1.0,22.0,100.0,45.0,3.0,0.03391428571428572,0.056,51.0
0,0,1,2,1.0,22.0,100.0,60.0,3.0,0.03391428571428572,0.056,53.0
0,0,1,2,1.0,22.0,100.0,90.0,3.0,0.03391428571428572,0.056,54.75
0,0,0,0,1.0,22.0,10.0,0.0,4.0,0.08678260869565217,0.103,0.0
0,0,0,0,1.0,22.0,10.0,5.0,4.0,0.08678260869565217,0.103,2.5
0,0,0,0,1.0,22.0,10.0,10.0,4.0,0.08678260869565217,0.103,3.5
0,0,0,0,1.0,22.0,10.0,15.0,4.0,0.08678260869565217,0.103,4.0
0,0,0,0,1.0,22.0,10.0,20.0,4.0,0.08678260869565217,0.103,4.3
0,0,0,0,1.0,22.0,10.0,30.0,4.0,0.08678260869565217,0.103,4.5
0,0,0,0,1.0,22.0,10.0,45.0,4.0,0.08678260869565217,0.103,4.6
0,0,0,0,1.0,22.0,10.0,60.0,4.0,0.08678260869565217,0.103,4.7
0,0,0,0,1.0,22.0,50.0,0.0,4.0,0.08678260869565217,0.103,0.0
0,0,0,0,1.0,22.0,50.0,5.0,4.0,0.08678260869565217,0.103,5.5
0,0,0,0,1.0,22.0,50.0,10.0,4.0,0.08678260869565217,0.103,8.0
0,0,0,0,1.0,22.0,50.0,15.0,4.0,0.08678260869565217,0.103,10.0
0,0,0,0,1.0,22.0,50.0,20.0,4.0,0.08678260869565217,0.103,11.0
0,0,0,0,1.0,22.0,50.0,30.0,4.0,0.08678260869565217,0.103,11.8
0,0,0,0,1.0,22.0,50.0,45.0,4.0,0.08678260869565217,0.103,12.2
0,0,0,0,1.0,22.0,50.0,60.0,4.0,0.08678260869565217,0.103,12.5
0,0,0,0,1.0,22.0,100.0,0.0,4.0,0.068875,0.103,0.0
0,0,0,0,1.0,22.0,100.0,5.0,4.0,0.068875,0.103,8.0
0,0,0,0,1.0,22.0,100.0,10.0,4.0,0.068875,0.103,12.0
0,0,0,0,1.0,22.0,100.0,15.0,4.0,0.068875,0.103,15.0
0,0,0,0,1.0,22.0,100.0,20.0,4.0,0.068875,0.103,16.5
0,0,0,0,1.0,22.0,100.0,30.0,4.0,0.068875,0.103,17.5
0,0,0,0,1.0,22.0,100.0,45.0,4.0,0.068875,0.103,18.3
0,0,0,0,1.0,22.0,100.0,60.0,4.0,0.068875,0.103,18.85
