Model,R²,RMSE,MAE
CatBoost,0.9150672716926191,10.457508707851066,6.470980006406468
XGBoost,0.9018282641051036,11.243044573715638,7.017608415656286
LightGBM,0.904034670484768,11.115983071319976,7.023350168682238
