predicted_p_adsorption_capacity_mg_g,energy_proxy,composite_objective,nearest_training_distance,support_distance_limit,combination_code,Modified or unmodified,Cross-linked or uncross-linked,modified_material_type,cross_linking_agent_type,Adsorbent dosage (g/L),Reactor temperature (℃),Initial P concentration (mg/L),Reaction time (min),Solution pH,Pore volume (cm³/g),BET surface area (m²/g),scenario,initial_p_constraint_mg_l,run
86.34317377298666,0.01907983216990272,-0.42302551228983437,0.07577084562011752,0.1785714285714285,1,1.0,1.0,2,1,0.04,22.4898588801969,9.3,766.1908199316921,4.993247931128822,0.09032199740658664,106.86415565844425,Fixed 9.3 mg/L,9.3,1
84.10221156026083,0.030559586239772563,-0.400071297325311,0.14207239547042558,0.1785714285714285,16,1.0,1.0,10,2,0.04476476191980073,20.961835799102225,9.3,762.8234365220292,5.830434450650042,0.011857059299161248,12.06238338645192,Fixed 9.3 mg/L,9.3,2
86.34317377298666,0.019977788953311704,-0.4221275555064254,0.07377997951609132,0.1785714285714285,1,1.0,1.0,2,1,0.0406003292990406,22.487218348080155,9.3,801.4071278159972,4.995302261397995,0.10014896649203572,107.41446139357438,Fixed 9.3 mg/L,9.3,3
86.34317377298666,0.019192462344286208,-0.42291288211545086,0.07646397867905787,0.1785714285714285,1,1.0,1.0,2,1,0.041540932075960386,22.490729218406756,9.3,770.981042976832,4.959218923151655,0.09904614026857544,106.76752194481124,Fixed 9.3 mg/L,9.3,4
86.34317377298666,0.019273757802555937,-0.4228315866571812,0.07471747506638275,0.1785714285714285,1,1.0,1.0,2,1,0.04034274098417465,22.49825177032102,9.3,776.5748621102987,4.990354389469148,0.09452180932720577,107.3603139000924,Fixed 9.3 mg/L,9.3,5
86.34317377298666,0.019192189138648348,-0.42291315532108875,0.07639781917722498,0.1785714285714285,1,1.0,1.0,2,1,0.04272658691400972,22.49293660551609,9.3,771.6488818879641,4.953838221274466,0.09992553407593319,107.01582296248867,Fixed 9.3 mg/L,9.3,6
86.03483298467947,0.03981255167654177,-0.40071398690348625,0.17718405746489946,0.1785714285714285,16,1.0,1.0,10,2,0.044903988422928566,20.9996120193504,9.3,1003.1789987389539,3.8977277042860665,0.01772876765128098,11.59021363257677,Fixed 9.3 mg/L,9.3,7
86.34317377298666,0.019206946270900683,-0.4228983981888364,0.0760540305420735,0.1785714285714285,1,1.0,1.0,2,1,0.0416161624540812,22.497494147319493,9.3,773.6486138615894,4.954242078110088,0.10004543460272715,107.32848074349252,Fixed 9.3 mg/L,9.3,8
84.10466162985546,0.030437742808972372,-0.4002056859153259,0.1419341909230038,0.1785714285714285,16,1.0,1.0,10,2,0.04828739542559514,20.969830567422953,9.3,761.2892029659748,5.798075612359077,0.010059525535488088,11.834897385165824,Fixed 9.3 mg/L,9.3,9
86.03483298467947,0.040102426671864644,-0.40042411190816335,0.1645299851630746,0.1785714285714285,16,1.0,1.0,10,2,0.044471361316755664,20.99689625566398,9.3,1009.7976137249577,3.665669865955498,0.016588291104658537,11.511927786292887,Fixed 9.3 mg/L,9.3,10
